tankID,205A_origin,Basket,fishID,witroxChannel,respirometryChamber,witroxFileName,controlChamber,Date,mass_g,OBS
32_4,T_5,1,32_4_1,,,,,16/5/18,0.0619,
32_4,T_3,2,32_4_2,,,,,16/5/18,0.0356,
32_4,T_4,3,32_4_3,,,,,16/5/18,0.0595,
32_4,T_7,4,32_4_4,,,,,16/5/18,0.0782,
32_4,T_1,5,32_4_5,,,,,16/5/18,0.0516,
29_4,T_3,1,29_4_1,,,,,16/5/18,0.0433,
29_4,T_3,2,29_4_2,,,,,16/5/18,0.0583,
29_4,T_3,3,29_4_3,,,,,16/5/18,0.0662,
29_4,T_6,4,29_4_4,,,,,16/5/18,0.0634,
29_4,T_4,5,29_4_5,,,,,16/5/18,0.0548,
20_4,T_6,1,20_4_1,,,,,16/5/18,0.0598,
20_4,T_6,2,20_4_2,,,,,16/5/18,0.0666,
20_4,T_2,3,20_4_3,,,,,16/5/18,0.0466,
20_4,T_6,4,20_4_4,,,,,16/5/18,0.0349,
20_4,T_4,5,20_4_5,,,,,16/5/18,0.0701,
26_4,T_4,1,26_4_1,,,,,16/5/18,0.0516,
26_4,T_1,2,26_4_2,,,,,16/5/18,0.0598,
26_4,T_3,3,26_4_3,,,,,16/5/18,0.0449,
26_4,T_4,4,26_4_4,,,,,16/5/18,0.0491,
26_4,T_8,5,26_4_5,,,,,16/5/18,0.0377,
29_1,T_8,1,29_1_1,,,,,16/5/18,0.0883,
29_1,T_6,2,29_1_2,,,,,16/5/18,0.0369,
29_1,T_7,3,29_1_3,,,,,16/5/18,0.065,
29_1,T_4,4,29_1_4,,,,,16/5/18,0.0249,
29_1,T_4,5,29_1_5,,,,,16/5/18,0.0324,
20_1,T_7,1,20_1_1,,,,,16/5/18,0.0216,
20_1,T_8,2,20_1_2,,,,,16/5/18,0.016,
20_1,T_3,3,20_1_3,,,,,17/5/18,0.0443,"Dead on 17/05/2018 (original mass 0.0318), replaced"
20_1,T_7,4,20_1_4,,,,,16/5/18,0.0661,
20_1,T_4,5,20_1_5,,,,,16/5/18,0.0523,
32_1,T_5,1,32_1_1,,,,,16/5/18,0.0422,
32_1,T_1,2,32_1_2,,,,,16/5/18,0.0429,
32_1,T_2,3,32_1_3,,,,,16/5/18,0.0525,
32_1,T_9,4,32_1_4,,,,,16/5/18,0.0402,
