fishID,tempCelsius,tankID,beginningState2_O2_umol_l,endState2_O2_umol_l,state2Time_mins,beginningState3_maxO2_umol_l,endState3_maxO2_umol_l,maxState3Time_mins,beginningState4_O2_umol_l,endState4_O2_umol_l,state4Time_mins,startOliO2_umol_l,endOliO2_umol_l,oliTime_mins,O2BeginningS3_O2_umol_l,O2EndS3_O2_umol_l,timeO2DiffusionS3_mins,,proteinSample_mg_ml,protein_per_50ul
20_1_1,20,20_1,SAMPLE LOST IN LEAK,,,,,,,,,,,,,,,,1.46965571,0.073482785
20_1_2,20,20_1,249.07,237.78,0.158333333,237.02,208.23,0.113888889,110.8,110.12,0.076388889,113.08,112.13,0.093055556,236.08,112.44,0.708333333,,2.065071693,0.103253585
20_1_3,20,20_1,248.12,239.26,0.119444444,237.5,211.82,0.094444444,147.22,145.26,0.084722222,146.17,144.39,0.1,237.08,148.3,0.520833333,,2.848062129,0.142403106
20_1_4,20,20_1,243.9,236.67,0.089583333,233.37,186.41,0.15,65.63,64.88,0.09375,67.93,67.39,0.089583333,234.73,67.42,0.897916667,,2.605922777,0.130296139
20_1_5,20,20_1,241.57,234.16,0.077777778,231.5,223.73,0.036111111,183.86,181.09,0.048611111,181.86,179.51,0.059722222,230.41,189.62,0.380555556,,2.561041022,0.128052051
20_2_1,20,20_2,246.91,242.29,0.133333333,241.02,219.17,0.172222222,SAMPLE LOST IN LEAK,,,,,,,,,,,
20_2_2,20,20_2,257.65,251.19,0.123611111,246.57,213.76,0.179166667,156.77,155.43,0.038888889,160.57,159.98,0.159722222,248.94,158.31,0.676388889,,1.755934843,0.087796742
20_2_3,20,20_2,250.47,245.4,0.076388889,242.58,224.21,0.075,164,163.13,0.073611111,167.27,166.48,0.077777778,244.76,165.73,0.493055556,,2.503656044,0.125182802
20_2_4,20,20_2,261.7,256.82,0.076388889,253.73,229.27,0.084722222,163.94,163.04,0.090277778,166.7,164.89,0.130555556,254.58,165.11,0.494444444,,2.300083462,0.115004173
20_2_5,20,20_2,245.18,239.53,0.106944444,239.51,228.26,0.073611111,208.57,206.73,0.080555556,207.25,205.91,0.097222222,240.11,211.3,0.341666667,,2.72754741,0.136377371
20_3_1,20,20_3,255.32,250.47,0.095833333,248.41,233.08,0.065277778,190.79,190.09,0.061111111,192.15,190.69,0.101388889,248.41,192.39,0.451388889,,2.81670804,0.140835402
20_3_2,20,20_3,233.15,228.23,0.111111111,226.17,196.59,0.118055556,127.34,126.5,0.043055556,130.08,129.9,0.088888889,226.17,127.44,0.658333333,,2.919253643,0.145962682
20_3_3,20,20_3,253.21,247,0.104166667,243.36,216.07,0.091666667,129.42,129.16,0.063888889,131.94,131.11,0.070833333,244.05,130.28,0.631944444,,2.81670804,0.140835402
20_3_4,20,20_3,249.05,242.84,0.1,239.61,214.39,0.109722222,151.19,149.39,0.061111111,152.29,151,0.091666667,240.69,149.99,0.748611111,,2.527640111,0.126382006
20_3_5,20,20_3,249.62,242.45,0.1,236.57,199.3,0.1,140.95,140.57,0.054166667,142.79,142.03,0.095833333,238,142.03,0.419444444,,2.651201341,0.132560067
20_4_1,20,20_4,247.93,240.73,0.091666667,237.73,213.15,0.086111111,130.57,128.67,0.093055556,130.37,127.16,0.079166667,238.87,133.56,0.563888889,,2.716025232,0.135801262
20_4_2,20,20_4,233.55,227.57,0.093055556,225.8,215.65,0.079166667,172.9,168.15,0.102777778,168.54,164.83,0.083333333,226.15,175.35,0.683333333,,2.797201292,0.139860065
20_4_3,20,20_4,249.83,243.04,0.091666667,238.62,221.2,0.088888889,160.56,157.34,0.081944444,160.76,157.7,0.069444444,239.66,163.26,0.676388889,,2.681607499,0.134080375
20_4_4,20,20_4,248.21,238.34,0.109722222,235.65,224.35,0.054166667,155.93,154.15,0.061111111,155.69,152.45,0.086111111,236.13,156.69,0.647222222,,2.185252014,0.109262601
20_4_5,20,20_4,231.68,223.66,0.090277778,217.21,187.27,0.094444444,115.16,113.17,0.075,113.8,112.2,0.058333333,216.8,115.63,0.740277778,,2.598414929,0.129920746
26_1_1,26,26_1,221.37,208.95,0.123611111,203.07,175.62,0.072222222,80.05,80.33,0.070833333,81.5,79.03,0.036111111,204.05,89.48,0.523611111,,2.055074747,0.102753737
26_1_2,26,26_1,228.29,214.89,0.123611111,207.91,165.98,0.098611111,114.74,111.61,0.054166667,112.16,107.52,0.091666667,207.91,115.16,0.455555556,,2.446933103,0.122346655
26_1_3,26,26_1,215.73,208.06,0.075,204.65,190.79,0.077777778,112.96,106.46,0.083333333,99.97,94.52,0.073611111,206.26,113.83,0.820833333,,2.098573964,0.104928698
26_1_4,26,26_1,206.69,197.2,0.075,191.78,168.92,0.090277778,88.59,83.35,0.093055556,83.66,78.34,0.098611111,191.78,91.22,0.773611111,,2.533191429,0.126659571
26_1_5,26,26_1,219.28,210.02,0.072222222,203.44,172.94,0.106944444,92.76,83.47,0.097222222,74.17,67.2,0.072222222,203.44,95,0.766666667,,2.501815939,0.125090797
