Date & time of file creation	23/05/2018 5:39 PM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\23_05_2018\26_C_new_witrox_3.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.66	27.12	0.00	100.00	25.89	25.91	0.000						
SDWD0003000199      , CH 2	1	59.66	27.12	0.00	100.00	25.89	25.91	0.000						
SDWD0003000199      , CH 3	1	59.66	27.12	0.00	100.00	25.89	25.91	0.000						
SDWD0003000199      , CH 4	1	59.66	27.12	0.00	100.00	25.89	25.91	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
23/05/2018 5:39:55 PM	3609905995	1013.00	26.96	25.59	102.1	27.42	25.59	97.7	27.07	25.59	101.0	27.33	25.59	98.6
23/05/2018 5:39:56 PM	3609905996	1013.00	26.91	25.59	102.6	27.48	25.59	97.2	27.05	25.59	101.2	27.31	25.59	98.8
23/05/2018 5:39:57 PM	3609905997	1013.00	26.82	25.59	103.5	27.42	25.59	97.7	27.10	25.59	100.7	27.32	25.59	98.7
23/05/2018 5:39:58 PM	3609905998	1013.00	26.81	25.59	103.6	27.39	25.59	98.0	27.07	25.59	101.0	27.29	25.59	98.9
23/05/2018 5:39:59 PM	3609905999	1013.00	26.96	25.59	102.1	27.39	25.59	98.0	27.08	25.59	100.9	27.34	25.59	98.5
23/05/2018 5:40:00 PM	3609906000	1013.00	26.90	25.59	102.7	27.47	25.59	97.3	27.07	25.59	101.0	27.33	25.59	98.6
23/05/2018 5:40:01 PM	3609906001	1013.00	26.82	25.59	103.5	27.43	25.59	97.7	27.10	25.59	100.7	27.32	25.59	98.7
23/05/2018 5:40:02 PM	3609906002	1013.00	26.84	25.59	103.3	27.45	25.59	97.5	27.02	25.59	101.5	27.32	25.59	98.7
23/05/2018 5:40:03 PM	3609906003	1013.00	26.85	25.59	103.2	27.43	25.59	97.7	27.06	25.59	101.1	27.27	25.59	99.1
23/05/2018 5:40:04 PM	3609906004	1013.00	26.89	25.59	102.8	27.37	25.59	98.2	27.08	25.59	100.9	27.29	25.59	98.9
23/05/2018 5:40:05 PM	3609906005	1013.00	26.80	25.59	103.7	27.45	25.59	97.5	27.11	25.59	100.6	27.32	25.59	98.7
23/05/2018 5:40:06 PM	3609906006	1013.00	26.76	25.59	104.1	27.42	25.59	97.7	27.05	25.59	101.2	27.31	25.59	98.8
23/05/2018 5:40:07 PM	3609906007	1013.00	26.86	25.59	103.1	27.41	25.59	97.8	27.03	25.59	101.4	27.29	25.59	98.9
23/05/2018 5:40:08 PM	3609906008	1013.00	26.80	25.59	103.7	27.43	25.59	97.7	27.01	25.59	101.6	27.32	25.59	98.7
23/05/2018 5:40:09 PM	3609906009	1013.00	26.81	25.59	103.6	27.40	25.59	97.9	27.07	25.59	101.0	27.29	25.59	98.9
23/05/2018 5:40:10 PM	3609906010	1013.00	26.93	25.59	102.4	27.48	25.59	97.2	27.10	25.59	100.7	27.32	25.59	98.7
23/05/2018 5:40:11 PM	3609906011	1013.00	26.87	25.59	103.0	27.43	25.59	97.7	27.12	25.59	100.6	27.30	25.59	98.9
23/05/2018 5:40:12 PM	3609906012	1013.00	26.96	25.59	102.1	27.41	25.59	97.8	27.14	25.59	100.4	27.31	25.59	98.8
23/05/2018 5:40:13 PM	3609906013	1013.00	26.93	25.59	102.4	27.44	25.59	97.6	27.05	25.59	101.2	27.32	25.59	98.7
23/05/2018 5:40:14 PM	3609906014	1013.00	26.80	25.60	103.6	27.47	25.60	97.3	27.06	25.60	101.1	27.35	25.60	98.4
23/05/2018 5:40:15 PM	3609906015	1013.00	26.94	25.60	102.3	27.44	25.60	97.5	27.04	25.60	101.3	27.31	25.60	98.7
23/05/2018 5:40:16 PM	3609906016	1013.00	26.81	25.59	103.6	27.45	25.59	97.5	27.03	25.59	101.4	27.30	25.59	98.9
23/05/2018 5:40:17 PM	3609906017	1013.00	26.97	25.59	102.0	27.43	25.59	97.7	27.07	25.59	101.0	27.31	25.59	98.8
23/05/2018 5:40:18 PM	3609906018	1013.00	26.98	25.59	101.9	27.44	25.59	97.6	27.11	25.59	100.6	27.36	25.59	98.3
23/05/2018 5:40:19 PM	3609906019	1013.00	26.82	25.59	103.5	27.45	25.59	97.5	27.08	25.59	100.9	27.33	25.59	98.6
23/05/2018 5:40:20 PM	3609906020	1013.00	27.01	25.59	101.6	27.45	25.59	97.5	27.10	25.59	100.7	27.35	25.59	98.4
23/05/2018 5:40:21 PM	3609906021	1013.00	26.87	25.59	103.0	27.45	25.59	97.5	27.06	25.59	101.1	27.35	25.59	98.4
23/05/2018 5:40:22 PM	3609906022	1013.00	26.79	25.59	103.8	27.45	25.59	97.5	27.07	25.59	101.0	27.30	25.59	98.9
23/05/2018 5:40:23 PM	3609906023	1013.00	26.90	25.59	102.7	27.43	25.59	97.7	27.14	25.59	100.4	27.32	25.59	98.7
23/05/2018 5:40:24 PM	3609906024	1013.00	26.84	25.59	103.3	27.48	25.59	97.2	27.10	25.59	100.7	27.33	25.59	98.6
23/05/2018 5:40:25 PM	3609906025	1013.00	27.00	25.59	101.7	27.44	25.59	97.6	27.02	25.59	101.5	27.38	25.59	98.1
23/05/2018 5:40:26 PM	3609906026	1013.00	26.93	25.58	102.4	27.43	25.58	97.7	27.06	25.58	101.1	27.36	25.58	98.3
23/05/2018 5:40:27 PM	3609906027	1013.00	26.82	25.58	103.5	27.49	25.58	97.1	27.05	25.58	101.2	27.35	25.58	98.4
23/05/2018 5:40:28 PM	3609906028	1013.00	26.75	25.58	104.2	27.46	25.58	97.4	27.10	25.58	100.8	27.34	25.58	98.5
23/05/2018 5:40:29 PM	3609906029	1013.00	26.86	25.58	103.1	27.49	25.58	97.1	27.06	25.58	101.1	27.38	25.58	98.1
23/05/2018 5:40:30 PM	3609906030	1013.00	26.83	25.58	103.4	27.52	25.58	96.8	27.04	25.58	101.3	27.34	25.58	98.5
23/05/2018 5:40:31 PM	3609906031	1013.00	26.84	25.58	103.3	27.47	25.58	97.3	27.09	25.58	100.9	27.36	25.58	98.3
23/05/2018 5:40:32 PM	3609906032	1013.00	26.91	25.58	102.6	27.42	25.58	97.8	27.04	25.58	101.3	27.36	25.58	98.3
23/05/2018 5:40:33 PM	3609906033	1013.00	26.90	25.58	102.7	27.47	25.58	97.3	27.05	25.58	101.2	27.36	25.58	98.3
23/05/2018 5:40:34 PM	3609906034	1013.00	26.84	25.59	103.3	27.41	25.59	97.8	27.07	25.59	101.0	27.38	25.59	98.1
23/05/2018 5:40:35 PM	3609906035	1013.00	26.86	25.59	103.1	27.46	25.59	97.4	27.11	25.59	100.6	27.38	25.59	98.1
23/05/2018 5:40:36 PM	3609906036	1013.00	26.88	25.59	102.9	27.48	25.59	97.2	27.14	25.59	100.4	27.42	25.59	97.7
