Date & time of file creation	24/05/2018 11:47 AM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\24_05_2018\32_C_new_witrox_3.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.13	26.29	0.00	100.00	32.01	31.84	0.000						
SDWD0003000199      , CH 2	1	59.13	26.29	0.00	100.00	32.01	31.84	0.000						
SDWD0003000199      , CH 3	1	59.13	26.29	0.00	100.00	32.01	31.84	0.000						
SDWD0003000199      , CH 4	1	59.13	26.29	0.00	100.00	32.01	31.84	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
24/05/2018 11:48:07 AM	3609971287	1013.00	26.49	32.17	97.5	26.64	32.17	96.2	26.24	32.17	99.9	49.55	32.17	11.1
24/05/2018 11:48:08 AM	3609971288	1013.00	26.49	32.16	97.6	26.66	32.16	96.0	26.24	32.16	99.9	49.59	32.16	11.1
24/05/2018 11:48:09 AM	3609971289	1013.00	26.50	32.17	97.5	26.64	32.17	96.2	26.24	32.17	99.9	49.55	32.17	11.1
24/05/2018 11:48:10 AM	3609971290	1013.00	26.49	32.17	97.5	26.66	32.17	96.0	26.25	32.17	99.8	49.57	32.17	11.1
24/05/2018 11:48:11 AM	3609971291	1013.00	26.53	32.17	97.2	26.65	32.17	96.1	26.23	32.17	100.0	49.56	32.17	11.1
24/05/2018 11:48:12 AM	3609971292	1013.00	26.52	32.17	97.3	26.66	32.17	96.0	26.25	32.17	99.8	49.56	32.17	11.1
24/05/2018 11:48:13 AM	3609971293	1013.00	26.53	32.17	97.2	26.66	32.17	96.0	26.24	32.17	99.9	49.56	32.17	11.1
24/05/2018 11:48:14 AM	3609971294	1013.00	26.55	32.17	97.0	26.64	32.17	96.2	26.24	32.17	99.9	49.56	32.17	11.1
24/05/2018 11:48:15 AM	3609971295	1013.00	26.54	32.17	97.1	26.68	32.17	95.8	26.26	32.17	99.7	49.57	32.17	11.1
24/05/2018 11:48:16 AM	3609971296	1013.00	26.51	32.17	97.4	26.67	32.17	95.9	26.24	32.17	99.9	49.56	32.17	11.1
24/05/2018 11:48:17 AM	3609971297	1013.00	26.49	32.17	97.5	26.69	32.17	95.7	26.27	32.17	99.6	49.56	32.17	11.1
