Date & time of file creation	25/05/2018 3:04 PM													
Data file path	C:\Users\Seebacher\Desktop\Diego Barneche\25_05_2018\20_C_old_witrox_3.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.68	27.10	0.00	100.00	29.09	29.21	0.000						
S WOT 0041 000001   , CH 2	1	59.68	27.10	0.00	100.00	29.09	29.21	0.000						
S WOT 0041 000001   , CH 3	1	59.68	27.10	0.00	100.00	29.09	29.21	0.000						
S WOT 0041 000001   , CH 4	1	59.68	27.10	0.00	100.00	29.09	29.21	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
25/05/2018 3:05:47 PM	3610069547	1013.00	27.73	20.27	110.4	27.78	20.27	109.8	NaN	20.27	NaN	NaN	20.27	NaN
25/05/2018 3:05:48 PM	3610069548	1013.00	27.73	20.28	110.3	27.78	20.28	109.8	NaN	20.28	NaN	NaN	20.28	NaN
25/05/2018 3:05:49 PM	3610069549	1013.00	27.72	20.28	110.4	27.75	20.28	110.1	NaN	20.28	NaN	NaN	20.28	NaN
25/05/2018 3:05:50 PM	3610069550	1013.00	27.70	20.29	110.6	27.78	20.29	109.8	NaN	20.29	NaN	NaN	20.29	NaN
25/05/2018 3:05:51 PM	3610069551	1013.00	27.73	20.29	110.3	27.77	20.29	109.9	NaN	20.29	NaN	NaN	20.29	NaN
25/05/2018 3:05:52 PM	3610069552	1013.00	27.72	20.28	110.4	27.76	20.28	110.0	NaN	20.28	NaN	NaN	20.28	NaN
25/05/2018 3:05:53 PM	3610069553	1013.00	27.72	20.28	110.4	27.77	20.28	109.9	NaN	20.28	NaN	NaN	20.28	NaN
25/05/2018 3:05:54 PM	3610069554	1013.00	27.75	20.28	110.1	27.77	20.28	109.9	NaN	20.28	NaN	NaN	20.28	NaN
25/05/2018 3:05:55 PM	3610069555	1013.00	27.73	20.27	110.4	27.77	20.27	109.9	NaN	20.27	NaN	NaN	20.27	NaN
