Date & time of file creation	1/06/2018 10:34 AM													
Data file path	C:\Users\Seebacher\Desktop\Diego Barneche\01_06_2018\29_C_old_witrox_6.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	60.25	28.58	0.00	100.00	20.20	20.32	0.000						
S WOT 0041 000001   , CH 2	1	60.25	28.58	0.00	100.00	20.20	20.32	0.000						
S WOT 0041 000001   , CH 3	1	60.25	28.58	0.00	100.00	20.20	20.32	0.000						
S WOT 0041 000001   , CH 4	1	60.25	28.58	0.00	100.00	20.20	20.32	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
1/06/2018 10:36:06 AM	3610658166	1013.00	26.78	28.93	101.7	26.74	28.93	102.1	26.48	28.93	104.7	NaN	28.93	NaN
1/06/2018 10:36:07 AM	3610658167	1013.00	26.81	28.94	101.4	26.75	28.94	102.0	26.45	28.94	104.9	NaN	28.94	NaN
1/06/2018 10:36:08 AM	3610658168	1013.00	26.80	28.94	101.5	26.73	28.94	102.2	26.48	28.94	104.6	NaN	28.94	NaN
1/06/2018 10:36:09 AM	3610658169	1013.00	26.80	28.94	101.5	26.77	28.94	101.8	26.46	28.94	104.8	NaN	28.94	NaN
1/06/2018 10:36:10 AM	3610658170	1013.00	26.79	28.94	101.6	26.79	28.94	101.6	26.45	28.94	104.9	NaN	28.94	NaN
1/06/2018 10:36:11 AM	3610658171	1013.00	26.79	28.93	101.6	26.74	28.93	102.1	26.48	28.93	104.7	NaN	28.93	NaN
1/06/2018 10:36:12 AM	3610658172	1013.00	26.80	28.93	101.5	26.78	28.93	101.7	26.46	28.93	104.9	NaN	28.93	NaN
1/06/2018 10:36:13 AM	3610658173	1013.00	26.77	28.92	101.8	26.78	28.92	101.7	26.48	28.92	104.7	NaN	28.92	NaN
1/06/2018 10:36:14 AM	3610658174	1013.00	26.78	28.92	101.7	26.78	28.92	101.7	26.48	28.92	104.7	NaN	28.92	NaN
1/06/2018 10:36:15 AM	3610658175	1013.00	26.82	28.92	101.3	26.74	28.92	102.1	26.45	28.92	105.0	NaN	28.92	NaN
1/06/2018 10:36:16 AM	3610658176	1013.00	26.78	28.91	101.7	26.75	28.91	102.0	26.50	28.91	104.5	NaN	28.91	NaN
1/06/2018 10:36:17 AM	3610658177	1013.00	26.81	28.91	101.4	26.74	28.91	102.1	26.44	28.91	105.1	NaN	28.91	NaN
1/06/2018 10:36:18 AM	3610658178	1013.00	26.80	28.90	101.6	26.75	28.90	102.0	26.47	28.90	104.8	NaN	28.90	NaN
1/06/2018 10:36:19 AM	3610658179	1013.00	26.80	28.90	101.6	26.72	28.90	102.3	26.47	28.90	104.8	NaN	28.90	NaN
1/06/2018 10:36:20 AM	3610658180	1013.00	26.78	28.91	101.7	26.74	28.91	102.1	26.50	28.91	104.5	NaN	28.91	NaN
1/06/2018 10:36:21 AM	3610658181	1013.00	26.81	28.90	101.5	26.76	28.90	101.9	26.45	28.90	105.0	NaN	28.90	NaN
1/06/2018 10:36:22 AM	3610658182	1013.00	26.78	28.90	101.7	26.78	28.90	101.7	26.48	28.90	104.7	NaN	28.90	NaN
1/06/2018 10:36:23 AM	3610658183	1013.00	26.78	28.90	101.7	26.75	28.90	102.0	26.46	28.90	104.9	NaN	28.90	NaN
1/06/2018 10:36:24 AM	3610658184	1013.00	26.79	28.89	101.7	26.78	28.89	101.8	26.46	28.89	104.9	NaN	28.89	NaN
1/06/2018 10:36:25 AM	3610658185	1013.00	26.81	28.89	101.5	26.76	28.89	102.0	26.48	28.89	104.7	NaN	28.89	NaN
1/06/2018 10:36:26 AM	3610658186	1013.00	26.77	28.90	101.8	26.76	28.90	101.9	26.48	28.90	104.7	NaN	28.90	NaN
1/06/2018 10:36:27 AM	3610658187	1013.00	26.76	28.89	102.0	26.77	28.89	101.9	26.48	28.89	104.7	NaN	28.89	NaN
1/06/2018 10:36:28 AM	3610658188	1013.00	26.80	28.89	101.6	26.73	28.89	102.3	26.50	28.89	104.5	NaN	28.89	NaN
1/06/2018 10:36:29 AM	3610658189	1013.00	26.79	28.90	101.7	26.76	28.90	101.9	26.45	28.90	105.0	NaN	28.90	NaN
1/06/2018 10:36:30 AM	3610658190	1013.00	26.79	28.90	101.7	26.73	28.90	102.2	26.50	28.90	104.5	NaN	28.90	NaN
1/06/2018 10:36:31 AM	3610658191	1013.00	26.80	28.89	101.6	26.72	28.89	102.4	26.46	28.89	104.9	NaN	28.89	NaN
1/06/2018 10:36:32 AM	3610658192	1013.00	26.79	28.89	101.7	26.74	28.89	102.2	26.47	28.89	104.8	NaN	28.89	NaN
1/06/2018 10:36:33 AM	3610658193	1013.00	26.78	28.89	101.8	26.76	28.89	102.0	26.46	28.89	104.9	NaN	28.89	NaN
1/06/2018 10:36:34 AM	3610658194	1013.00	26.79	28.89	101.7	26.75	28.89	102.1	26.48	28.89	104.7	NaN	28.89	NaN
1/06/2018 10:36:35 AM	3610658195	1013.00	26.79	28.89	101.7	26.76	28.89	102.0	26.48	28.89	104.7	NaN	28.89	NaN
1/06/2018 10:36:36 AM	3610658196	1013.00	26.80	28.89	101.6	26.76	28.89	102.0	26.48	28.89	104.7	NaN	28.89	NaN
1/06/2018 10:36:37 AM	3610658197	1013.00	26.78	28.89	101.8	26.73	28.89	102.3	26.51	28.89	104.4	NaN	28.89	NaN
1/06/2018 10:36:38 AM	3610658198	1013.00	26.78	28.89	101.8	26.72	28.89	102.4	26.44	28.89	105.1	NaN	28.89	NaN
1/06/2018 10:36:39 AM	3610658199	1013.00	26.79	28.89	101.7	26.74	28.89	102.2	26.48	28.89	104.7	NaN	28.89	NaN
1/06/2018 10:36:40 AM	3610658200	1013.00	26.80	28.89	101.6	26.77	28.89	101.9	26.45	28.89	105.0	NaN	28.89	NaN
1/06/2018 10:36:41 AM	3610658201	1013.00	26.77	28.89	101.9	26.76	28.89	102.0	26.46	28.89	104.9	NaN	28.89	NaN
1/06/2018 10:36:42 AM	3610658202	1013.00	26.79	28.89	101.7	26.73	28.89	102.3	26.52	28.89	104.3	NaN	28.89	NaN
1/06/2018 10:36:43 AM	3610658203	1013.00	26.77	28.89	101.9	26.73	28.89	102.3	26.46	28.89	104.9	NaN	28.89	NaN
1/06/2018 10:36:44 AM	3610658204	1013.00	26.79	28.88	101.7	26.74	28.88	102.2	26.49	28.88	104.7	NaN	28.88	NaN
1/06/2018 10:36:45 AM	3610658205	1013.00	26.79	28.88	101.7	26.75	28.88	102.1	26.51	28.88	104.5	NaN	28.88	NaN
1/06/2018 10:36:46 AM	3610658206	1013.00	26.81	28.88	101.5	26.75	28.88	102.1	26.44	28.88	105.2	NaN	28.88	NaN
1/06/2018 10:36:47 AM	3610658207	1013.00	26.79	28.89	101.7	26.74	28.89	102.2	26.48	28.89	104.7	NaN	28.89	NaN
1/06/2018 10:36:48 AM	3610658208	1013.00	26.78	28.89	101.8	26.77	28.89	101.9	26.48	28.89	104.7	NaN	28.89	NaN
1/06/2018 10:36:49 AM	3610658209	1013.00	26.78	28.89	101.8	26.75	28.89	102.1	26.50	28.89	104.5	NaN	28.89	NaN
1/06/2018 10:36:50 AM	3610658210	1013.00	26.79	28.89	101.7	26.77	28.89	101.9	26.47	28.89	104.8	NaN	28.89	NaN
1/06/2018 10:36:51 AM	3610658211	1013.00	26.79	28.88	101.7	26.71	28.88	102.5	26.46	28.88	105.0	NaN	28.88	NaN
1/06/2018 10:36:52 AM	3610658212	1013.00	26.78	28.88	101.8	26.73	28.88	102.3	26.47	28.88	104.9	NaN	28.88	NaN
1/06/2018 10:36:53 AM	3610658213	1013.00	26.81	28.88	101.5	26.78	28.88	101.8	26.48	28.88	104.8	NaN	28.88	NaN
1/06/2018 10:36:54 AM	3610658214	1013.00	26.80	28.88	101.6	26.78	28.88	101.8	26.47	28.88	104.9	NaN	28.88	NaN
1/06/2018 10:36:55 AM	3610658215	1013.00	26.80	28.88	101.6	26.77	28.88	101.9	26.47	28.88	104.9	NaN	28.88	NaN
1/06/2018 10:36:56 AM	3610658216	1013.00	26.79	28.90	101.7	26.77	28.90	101.8	26.48	28.90	104.7	NaN	28.90	NaN
1/06/2018 10:36:57 AM	3610658217	1013.00	26.79	28.89	101.7	26.78	28.89	101.8	26.45	28.89	105.0	NaN	28.89	NaN
1/06/2018 10:36:58 AM	3610658218	1013.00	26.79	28.88	101.7	26.79	28.88	101.7	26.48	28.88	104.8	NaN	28.88	NaN
1/06/2018 10:36:59 AM	3610658219	1013.00	26.82	28.89	101.4	26.76	28.89	102.0	26.45	28.89	105.0	NaN	28.89	NaN
1/06/2018 10:37:00 AM	3610658220	1013.00	26.78	28.88	101.8	26.75	28.88	102.1	26.47	28.88	104.9	NaN	28.88	NaN
1/06/2018 10:37:01 AM	3610658221	1013.00	26.78	28.88	101.8	26.75	28.88	102.1	26.47	28.88	104.9	NaN	28.88	NaN
1/06/2018 10:37:02 AM	3610658222	1013.00	26.80	28.88	101.6	26.78	28.88	101.8	26.47	28.88	104.9	NaN	28.88	NaN
1/06/2018 10:37:03 AM	3610658223	1013.00	26.79	28.88	101.7	26.76	28.88	102.0	26.49	28.88	104.7	NaN	28.88	NaN
1/06/2018 10:37:04 AM	3610658224	1013.00	26.81	28.88	101.5	26.79	28.88	101.7	26.48	28.88	104.8	NaN	28.88	NaN
1/06/2018 10:37:05 AM	3610658225	1013.00	26.80	28.88	101.6	26.79	28.88	101.7	26.45	28.88	105.1	NaN	28.88	NaN
1/06/2018 10:37:06 AM	3610658226	1013.00	26.80	28.89	101.6	26.78	28.89	101.8	26.49	28.89	104.6	NaN	28.89	NaN
1/06/2018 10:37:07 AM	3610658227	1013.00	26.79	28.89	101.7	26.75	28.89	102.1	26.44	28.89	105.1	NaN	28.89	NaN
1/06/2018 10:37:08 AM	3610658228	1013.00	26.82	28.88	101.4	26.79	28.88	101.7	26.50	28.88	104.6	NaN	28.88	NaN
1/06/2018 10:37:09 AM	3610658229	1013.00	26.80	28.88	101.6	26.78	28.88	101.8	26.48	28.88	104.8	NaN	28.88	NaN
1/06/2018 10:37:10 AM	3610658230	1013.00	26.77	28.88	101.9	26.79	28.88	101.7	26.47	28.88	104.9	NaN	28.88	NaN
