Date & time of file creation	20/06/2018 2:16 PM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\20_06_2018\32_C_old_witrox_13.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.71	27.51	0.00	100.00	26.13	26.14	0.000						
S WOT 0041 000001   , CH 2	1	59.71	27.51	0.00	100.00	26.13	26.14	0.000						
S WOT 0041 000001   , CH 3	1	59.71	27.51	0.00	100.00	26.13	26.14	0.000						
S WOT 0041 000001   , CH 4	1	59.71	27.51	0.00	100.00	26.13	26.14	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
20/06/2018 2:16:41 PM	3612313001	1013.00	26.44	32.34	99.5	26.33	32.34	100.6	26.24	32.34	101.5	26.21	32.34	101.8
20/06/2018 2:16:42 PM	3612313002	1013.00	26.44	32.34	99.5	26.39	32.34	100.0	26.20	32.34	101.9	26.21	32.34	101.8
20/06/2018 2:16:43 PM	3612313003	1013.00	26.41	32.34	99.8	26.37	32.34	100.2	26.23	32.34	101.6	26.23	32.34	101.6
20/06/2018 2:16:44 PM	3612313004	1013.00	26.39	32.34	100.0	26.40	32.34	99.9	26.21	32.34	101.8	26.20	32.34	101.9
