Date & time of file creation	21/06/2018 10:37													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\21_06_2018\32_C_old_witrox_14.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [¡C]	HI temperature [¡C]	Salinity [ä]						
"S WOT 0041 000001   , CH 1"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 2"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 3"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 4"	1	59.37	26.72	0	100	32.1	31.95	0						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	"S WOT 0041 000001   , CH 1 phase [r.U.]"	"S WOT 0041 000001   , CH 1 temp [¡C]"	"S WOT 0041 000001   , CH 1 O2 [% air saturation]"	"S WOT 0041 000001   , CH 2 phase [r.U.]"	"S WOT 0041 000001   , CH 2 temp [¡C]"	"S WOT 0041 000001   , CH 2 O2 [% air saturation]"	"S WOT 0041 000001   , CH 3 phase [r.U.]"	"S WOT 0041 000001   , CH 3 temp [¡C]"	"S WOT 0041 000001   , CH 3 O2 [% air saturation]"	"S WOT 0041 000001   , CH 4 phase [r.U.]"	"S WOT 0041 000001   , CH 4 temp [¡C]"	"S WOT 0041 000001   , CH 4 O2 [% air saturation]"
21/06/2018 10:37	3612386250	1013	26.37	31.89	103.5	NaN	31.89	NaN	26.17	31.89	105.5	26.17	31.89	105.5
21/06/2018 10:37	3612386251	1013	26.34	31.89	103.8	NaN	31.89	NaN	26.16	31.89	105.7	26.18	31.89	105.4
21/06/2018 10:37	3612386252	1013	26.35	31.88	103.7	NaN	31.88	NaN	26.17	31.88	105.6	26.18	31.88	105.5
21/06/2018 10:37	3612386253	1013	26.34	31.89	103.8	NaN	31.89	NaN	26.13	31.89	106	26.17	31.89	105.5
21/06/2018 10:37	3612386254	1013	26.37	31.88	103.5	NaN	31.88	NaN	26.18	31.88	105.5	26.16	31.88	105.7
21/06/2018 10:37	3612386255	1013	26.36	31.88	103.6	NaN	31.88	NaN	26.17	31.88	105.6	26.23	31.88	105
21/06/2018 10:37	3612386256	1013	26.37	31.87	103.6	NaN	31.87	NaN	26.15	31.87	105.8	26.18	31.87	105.5
21/06/2018 10:37	3612386257	1013	26.33	31.88	103.9	NaN	31.88	NaN	26.18	31.88	105.5	26.19	31.88	105.4
21/06/2018 10:37	3612386258	1013	26.38	31.87	103.5	NaN	31.87	NaN	26.1	31.87	106.3	26.2	31.87	105.3
21/06/2018 10:37	3612386259	1013	26.38	31.87	103.5	NaN	31.87	NaN	26.19	31.87	105.4	26.18	31.87	105.5
21/06/2018 10:37	3612386260	1013	26.38	31.88	103.4	NaN	31.88	NaN	26.14	31.88	105.9	26.16	31.88	105.7
21/06/2018 10:37	3612386261	1013	26.36	31.89	103.6	NaN	31.89	NaN	26.18	31.89	105.4	26.2	31.89	105.2
21/06/2018 10:37	3612386262	1013	26.4	31.89	103.2	NaN	31.89	NaN	26.14	31.89	105.9	26.19	31.89	105.3
21/06/2018 10:37	3612386263	1013	26.39	31.89	103.3	NaN	31.89	NaN	26.19	31.89	105.3	26.19	31.89	105.3
21/06/2018 10:37	3612386264	1013	26.39	31.9	103.3	NaN	31.9	NaN	26.17	31.9	105.5	26.19	31.9	105.3
21/06/2018 10:37	3612386265	1013	26.38	31.9	103.4	NaN	31.9	NaN	26.19	31.9	105.3	26.21	31.9	105.1
21/06/2018 10:37	3612386266	1013	26.34	31.89	103.8	NaN	31.89	NaN	26.2	31.89	105.2	26.19	31.89	105.3
21/06/2018 10:37	3612386267	1013	26.36	31.89	103.6	NaN	31.89	NaN	26.15	31.89	105.8	26.17	31.89	105.5
21/06/2018 10:37	3612386268	1013	26.37	31.89	103.5	NaN	31.89	NaN	26.11	31.89	106.2	26.21	31.89	105.1
21/06/2018 10:37	3612386269	1013	26.36	31.88	103.6	NaN	31.88	NaN	26.17	31.88	105.6	26.19	31.88	105.4
21/06/2018 10:37	3612386270	1013	26.38	31.88	103.4	NaN	31.88	NaN	26.23	31.88	105	26.21	31.88	105.2
21/06/2018 10:37	3612386271	1013	26.37	31.88	103.5	NaN	31.88	NaN	26.21	31.88	105.2	26.17	31.88	105.6
21/06/2018 10:37	3612386272	1013	26.38	31.88	103.4	NaN	31.88	NaN	26.23	31.88	105	26.2	31.88	105.3
21/06/2018 10:37	3612386273	1013	26.43	31.89	102.9	NaN	31.89	NaN	26.14	31.89	105.9	26.19	31.89	105.3
21/06/2018 10:37	3612386274	1013	26.37	31.89	103.5	NaN	31.89	NaN	26.15	31.89	105.8	26.18	31.89	105.4
21/06/2018 10:37	3612386275	1013	26.39	31.89	103.3	NaN	31.89	NaN	26.16	31.89	105.7	26.17	31.89	105.5
21/06/2018 10:37	3612386276	1013	26.4	31.9	103.2	NaN	31.9	NaN	26.14	31.9	105.8	26.17	31.9	105.5
21/06/2018 10:37	3612386277	1013	26.4	31.89	103.2	NaN	31.89	NaN	26.23	31.89	104.9	26.2	31.89	105.2
21/06/2018 10:37	3612386278	1013	26.41	31.9	103.1	NaN	31.9	NaN	26.23	31.9	104.9	26.17	31.9	105.5
21/06/2018 10:37	3612386279	1013	26.41	31.9	103.1	NaN	31.9	NaN	26.19	31.9	105.3	26.21	31.9	105.1
21/06/2018 10:38	3612386280	1013	26.4	31.9	103.2	NaN	31.9	NaN	26.17	31.9	105.5	26.2	31.9	105.2
21/06/2018 10:38	3612386281	1013	26.41	31.9	103.1	NaN	31.9	NaN	26.19	31.9	105.3	26.21	31.9	105.1
21/06/2018 10:38	3612386282	1013	26.43	31.91	102.9	NaN	31.91	NaN	26.18	31.91	105.4	26.18	31.91	105.4
21/06/2018 10:38	3612386283	1013	26.39	31.91	103.3	NaN	31.91	NaN	26.26	31.91	104.6	26.16	31.91	105.6
