Date & time of file creation	28/06/2018 10:32 AM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\28_06_2018\32_C_old_witrox_17.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.31	26.73	0.00	100.00	32.32	32.30	0.000						
S WOT 0041 000001   , CH 2	1	59.31	26.73	0.00	100.00	32.32	32.30	0.000						
S WOT 0041 000001   , CH 3	1	59.31	26.73	0.00	100.00	32.32	32.30	0.000						
S WOT 0041 000001   , CH 4	1	59.31	26.73	0.00	100.00	32.32	32.30	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
28/06/2018 10:36:02 AM	3612990962	1013.00	26.33	32.19	104.1	26.23	32.19	105.1	26.15	32.19	105.9	26.14	32.19	106.0
28/06/2018 10:36:03 AM	3612990963	1013.00	26.32	32.19	104.2	26.26	32.19	104.8	26.16	32.19	105.8	26.16	32.19	105.8
28/06/2018 10:36:04 AM	3612990964	1013.00	26.32	32.19	104.2	26.33	32.19	104.1	26.18	32.19	105.6	26.15	32.19	105.9
28/06/2018 10:36:05 AM	3612990965	1013.00	26.33	32.19	104.1	26.31	32.19	104.3	26.13	32.19	106.2	26.15	32.19	105.9
28/06/2018 10:36:06 AM	3612990966	1013.00	26.31	32.19	104.3	26.26	32.19	104.8	26.12	32.19	106.3	26.14	32.19	106.0
28/06/2018 10:36:07 AM	3612990967	1013.00	26.32	32.20	104.2	26.30	32.20	104.4	26.13	32.20	106.1	26.19	32.20	105.5
28/06/2018 10:36:08 AM	3612990968	1013.00	26.32	32.20	104.2	26.25	32.20	104.9	26.16	32.20	105.8	26.15	32.20	105.9
28/06/2018 10:36:09 AM	3612990969	1013.00	26.32	32.20	104.2	26.27	32.20	104.7	26.14	32.20	106.0	26.16	32.20	105.8
28/06/2018 10:36:10 AM	3612990970	1013.00	26.33	32.19	104.1	26.27	32.19	104.7	26.15	32.19	105.9	26.17	32.19	105.7
28/06/2018 10:36:11 AM	3612990971	1013.00	26.33	32.19	104.1	26.27	32.19	104.7	26.09	32.19	106.6	26.15	32.19	105.9
28/06/2018 10:36:12 AM	3612990972	1013.00	26.31	32.19	104.3	26.28	32.19	104.6	26.14	32.19	106.0	26.17	32.19	105.7
28/06/2018 10:36:13 AM	3612990973	1013.00	26.34	32.18	104.0	26.31	32.18	104.3	26.12	32.18	106.3	26.15	32.18	106.0
28/06/2018 10:36:14 AM	3612990974	1013.00	26.33	32.18	104.1	26.27	32.18	104.7	26.13	32.18	106.2	26.16	32.18	105.9
28/06/2018 10:36:15 AM	3612990975	1013.00	26.32	32.18	104.2	26.28	32.18	104.6	26.13	32.18	106.2	26.16	32.18	105.9
28/06/2018 10:36:16 AM	3612990976	1013.00	26.28	32.18	104.6	26.33	32.18	104.1	26.16	32.18	105.9	26.18	32.18	105.7
28/06/2018 10:36:17 AM	3612990977	1013.00	26.32	32.18	104.2	26.28	32.18	104.6	26.15	32.18	106.0	26.15	32.18	106.0
28/06/2018 10:36:18 AM	3612990978	1013.00	26.32	32.18	104.2	26.32	32.18	104.2	26.18	32.18	105.7	26.20	32.18	105.5
28/06/2018 10:36:19 AM	3612990979	1013.00	26.34	32.18	104.0	26.28	32.18	104.6	26.15	32.18	106.0	26.14	32.18	106.1
28/06/2018 10:36:20 AM	3612990980	1013.00	26.30	32.17	104.5	26.31	32.17	104.4	26.16	32.17	105.9	26.18	32.17	105.7
